vehicle_id,depart,arrival,duration,routeLength,waitingTime,waitingCount,timeLoss,departDelay
116,232.0,329.0,97.0,652.69,30.0,3,65.45,0.0
145,290.0,329.0,39.0,163.29,11.0,2,24.81,0.0
132,264.0,331.0,67.0,471.65,14.0,2,41.07,0.0
126,252.0,333.0,81.0,689.16,21.0,2,45.84,0.0
138,276.0,333.0,57.0,466.59,10.0,1,30.04,0.0
156,312.0,335.0,23.0,296.71,0.0,0,3.59,0.0
139,278.0,338.0,60.0,633.03,4.0,2,26.05,0.0
144,289.0,342.0,53.0,580.28,0.0,0,14.12,1.0
140,280.0,344.0,64.0,482.11,11.0,1,30.22,0.0
141,282.0,344.0,62.0,786.73,0.0,0,16.48,0.0
152,341.0,350.0,9.0,21.78,4.0,1,7.28,37.0
134,268.0,353.0,85.0,321.95,41.0,2,68.33,0.0
123,246.0,354.0,108.0,689.48,34.0,2,58.54,0.0
176,353.0,354.0,1.0,0.0,0.0,0,0.92,1.0
149,298.0,357.0,59.0,484.28,1.0,1,33.4,0.0
165,330.0,359.0,29.0,358.82,0.0,0,10.45,0.0
163,327.0,361.0,34.0,344.55,2.0,1,13.63,1.0
135,270.0,364.0,94.0,381.07,40.0,2,68.33,0.0
162,324.0,364.0,40.0,473.85,0.0,0,13.94,0.0
129,258.0,368.0,110.0,1367.22,11.0,1,30.42,0.0
148,296.0,370.0,74.0,415.3,18.0,2,38.65,0.0
157,314.0,373.0,59.0,761.05,0.0,0,10.78,0.0
177,354.0,376.0,22.0,254.88,0.0,0,9.28,0.0
169,338.0,378.0,40.0,406.67,0.0,0,6.83,0.0
155,310.0,379.0,69.0,614.46,15.0,1,33.78,0.0
147,294.0,380.0,86.0,1141.42,0.0,0,16.88,0.0
173,346.0,380.0,34.0,223.08,1.0,1,20.77,0.0
180,361.0,381.0,20.0,236.58,0.0,0,9.85,1.0
154,308.0,384.0,76.0,346.58,20.0,3,53.25,0.0
119,238.0,385.0,147.0,1496.43,15.0,2,53.58,0.0
185,370.0,388.0,18.0,108.27,3.0,1,11.63,0.0
143,286.0,391.0,105.0,976.36,27.0,2,49.25,0.0
150,300.0,391.0,91.0,480.61,17.0,3,61.34,0.0
158,316.0,392.0,76.0,346.58,17.0,2,51.04,0.0
193,389.0,392.0,3.0,6.34,0.0,0,1.77,3.0
137,274.0,398.0,124.0,1431.12,0.0,0,19.54,0.0
167,334.0,400.0,66.0,318.51,13.0,4,46.53,0.0
188,378.0,400.0,22.0,278.16,1.0,1,6.14,2.0
184,369.0,405.0,36.0,384.6,0.0,0,14.75,1.0
161,322.0,406.0,84.0,824.31,7.0,1,32.07,0.0
174,348.0,406.0,58.0,554.83,0.0,0,5.67,0.0
