step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label,current_congestion,future_congestion
53,6,7.22,0.0,0,Low,Medium,Medium
54,6,6.01,0.0,1,Low,Medium,Medium
55,6,6.54,0.0,0,Low,Medium,Medium
56,6,7.49,0.0,0,Low,Medium,Medium
57,7,6.93,1.0,2,Low,Medium,Medium
58,6,7.7,2.0,1,Low,Medium,Medium
59,6,8.65,3.0,1,Low,Medium,Medium
60,7,6.86,4.0,2,Low,Medium,Medium
61,7,7.3,5.0,1,Low,Medium,Medium
62,7,7.69,6.0,1,Low,Medium,Medium
63,8,7.0,7.0,2,Low,Medium,Medium
64,8,8.09,8.0,1,Low,Medium,Medium
65,8,9.26,9.0,1,Low,Medium,Medium
66,7,5.62,0.0,1,Low,Medium,Medium
67,7,6.52,0.0,0,Low,Medium,Medium
68,7,7.55,0.0,0,Low,Medium,Medium
69,7,8.48,0.0,0,Low,Medium,Medium
70,7,7.1,0.0,1,Low,Medium,High
71,6,6.68,0.0,0,Low,Medium,High
72,6,7.53,0.0,0,Low,Medium,Medium
73,6,7.09,0.0,0,Low,Medium,High
74,7,5.92,0.0,1,Low,Medium,High
75,7,4.51,0.0,1,Low,High,High
76,5,4.06,0.0,0,Low,High,High
77,4,5.08,0.0,0,Low,Medium,High
78,5,4.18,0.0,1,Low,High,High
79,5,4.55,1.0,1,Low,High,High
80,4,4.82,2.0,1,Low,High,High
81,5,3.81,3.0,2,Low,High,High
82,5,4.43,5.0,2,Low,High,High
83,5,4.68,7.0,2,Low,High,High
84,6,3.52,9.0,3,Low,High,High
85,5,3.68,7.0,1,Low,High,High
86,5,4.29,8.0,1,Low,High,High
87,5,3.57,9.0,1,Low,High,Medium
88,5,3.99,10.0,1,Low,High,Medium
89,5,4.02,11.0,1,Low,High,Medium
90,7,3.73,0.0,2,Low,High,Medium
91,6,3.7,0.0,0,Low,High,High
92,6,5.36,0.0,0,Low,Medium,High
93,7,6.0,0.0,1,Low,Medium,Medium
94,6,5.45,1.0,1,Low,Medium,Medium
95,5,5.28,0.0,0,Low,Medium,Medium
96,6,4.42,0.0,1,Low,High,Medium
97,6,4.86,1.0,1,Low,High,High
98,6,5.18,2.0,1,Low,Medium,Medium
99,7,5.0,0.0,1,Low,Medium,Medium
100,7,5.16,1.0,1,Low,Medium,Medium
101,7,5.15,0.0,0,Low,Medium,Medium
102,8,4.98,0.0,1,Low,High,Medium
103,7,5.55,0.0,0,Low,Medium,High
104,7,6.92,0.0,0,Low,Medium,High
105,8,6.12,0.0,1,Low,Medium,High
106,7,5.65,0.0,0,Low,Medium,High
107,7,5.13,0.0,0,Low,Medium,Medium
108,7,4.72,1.0,1,Low,High,Medium
109,7,4.33,2.0,1,Low,High,Medium
110,7,4.47,3.0,1,Low,High,Medium
111,8,4.18,1.0,2,Low,High,Medium
112,8,5.42,0.0,0,Low,Medium,Medium
113,8,6.6,0.0,0,Low,Medium,Medium
114,9,6.91,0.0,1,Low,Medium,Medium
115,8,7.39,1.0,1,Low,Medium,Medium
116,8,7.88,0.0,0,Low,Medium,Medium
117,8,8.34,0.0,1,Low,Medium,Medium
118,7,9.0,0.0,0,Low,Medium,Medium
119,7,10.0,0.0,0,Low,Medium,Medium
120,8,8.86,0.0,2,Low,Medium,Medium
121,6,11.57,0.0,0,Low,Medium,Medium
122,5,12.62,0.0,0,Low,Medium,Medium
123,6,11.19,0.0,1,Low,Medium,Medium
124,6,11.71,0.0,0,Low,Medium,Medium
125,6,11.66,0.0,0,Low,Medium,Medium
126,6,9.56,0.0,1,Low,Medium,Medium
127,6,10.25,0.0,0,Low,Medium,Medium
128,6,10.86,0.0,0,Low,Medium,Medium
129,7,9.29,0.0,1,Low,Medium,Medium
130,6,10.73,0.0,0,Low,Medium,Medium
131,6,11.4,0.0,0,Low,Medium,Medium
132,6,12.52,0.0,0,Low,Medium,Medium
133,6,12.61,0.0,0,Low,Medium,Medium
134,6,12.69,0.0,0,Low,Medium,Medium
135,7,11.36,0.0,1,Low,Medium,Medium
136,8,10.98,0.0,1,Low,Medium,Medium
137,6,9.84,0.0,0,Low,Medium,Medium
138,6,11.15,0.0,0,Low,Medium,Medium
139,7,10.41,0.0,1,Low,Medium,Medium
140,7,11.25,0.0,0,Low,Medium,Medium
141,6,10.4,0.0,1,Low,Medium,Medium
142,6,11.27,0.0,0,Low,Medium,Medium
143,6,10.76,0.0,0,Low,Medium,Medium
